profile,D_over_C,alpha_integrated,zeta_omega_Lw_over_C,P_C_reflect,P_D_reflect_left,P_C_transmit,P_D_transmit_forward,P_D_total,two_wall_forward_echo,delta_wall_forward_P,forward_over_delta,born_forward_over_delta,born_backward_over_delta,flux_sum,flux_error
square,1.000000000e+00,1.000000000e-02,1.000000000e-03,9.997998079e-09,9.997996968e-05,9.998000300e-01,9.998000301e-05,1.999599727e-04,9.996001001e-09,9.998000300e-05,1.000000000e+00,1.000000000e+00,9.999996667e-01,1.000000000e+00,0.000000000e+00
square,1.000000000e+00,1.000000000e-02,1.000000000e-02,9.997778182e-09,9.997667078e-05,9.998000333e-01,9.998000373e-05,1.999566745e-04,9.996001146e-09,9.998000300e-05,1.000000007e+00,1.000000000e+00,9.999666671e-01,1.000000000e+00,1.110223025e-16
square,1.000000000e+00,1.000000000e-02,1.000000000e-01,9.975810481e-09,9.964722017e-05,9.998003627e-01,9.998007620e-05,1.996272964e-04,9.996015637e-09,9.998000300e-05,1.000000732e+00,1.000000000e+00,9.966711079e-01,1.000000000e+00,2.220446049e-16
square,1.000000000e+00,1.000000000e-02,3.000000000e-01,9.799881003e-09,9.701671146e-05,9.998029928e-01,9.998065410e-05,1.969973656e-04,9.996131194e-09,9.998000300e-05,1.000006512e+00,1.000000000e+00,9.703576949e-01,1.000000000e+00,1.110223025e-16
square,1.000000000e+00,1.000000000e-02,1.000000000e+00,7.986561921e-09,7.079577052e-05,9.998292099e-01,9.998633264e-05,1.707821032e-04,9.997266715e-09,9.998000300e-05,1.000063309e+00,1.000000000e+00,7.080734183e-01,1.000000000e+00,2.220446049e-16
square,1.000000000e+00,1.000000000e-02,3.000000000e+00,1.216968001e-09,2.213946151e-07,9.998997785e-01,9.999892575e-05,1.002203204e-04,9.999785151e-09,9.998000300e-05,1.000189265e+00,1.000000000e+00,2.212761853e-03,1.000000000e+00,4.440892099e-16
square,1.000000000e+00,1.000000000e-02,1.000000000e+01,9.115406581e-11,2.958868967e-07,9.998997073e-01,9.999676878e-05,1.002926557e-04,9.999353767e-09,9.998000300e-05,1.000167691e+00,1.000000000e+00,2.959589691e-03,1.000000000e+00,6.661338148e-16
square,1.000000000e+00,1.000000000e-02,3.000000000e+01,1.123456592e-11,1.084458899e-07,9.998998949e-01,9.999665651e-05,1.001051024e-04,9.999331313e-09,9.998000300e-05,1.000166568e+00,1.000000000e+00,1.084673878e-03,1.000000000e+00,6.661338148e-16
square,1.000000000e+00,1.000000000e-01,1.000000000e-03,9.802958371e-05,9.802957265e-03,9.802960526e-01,9.802960565e-03,1.960591783e-02,9.609803584e-05,9.802960494e-03,1.000000007e+00,1.000000000e+00,9.999996667e-01,1.000000000e+00,2.220446049e-16
square,1.000000000e+00,1.000000000e-01,1.000000000e-02,9.802748218e-05,9.802637555e-03,9.802963674e-01,9.802967584e-03,1.960560514e-02,9.609817345e-05,9.802960494e-03,1.000000723e+00,1.000000000e+00,9.999666671e-01,1.000000000e+00,2.220446049e-16
