mu_coupling_per_length,beta_detuning_slope,adiabaticity_mu2_over_beta,P_LZ_conversion
1.000000000e-04,1.000000000e-06,1.000000000e-02,6.089863258e-02
1.000000000e-04,1.000000000e-05,1.000000000e-03,6.263487375e-03
1.000000000e-04,1.000000000e-04,1.000000000e-04,6.281211800e-04
1.000000000e-04,1.000000000e-03,1.000000000e-05,6.282987919e-05
1.000000000e-04,1.000000000e-02,1.000000000e-06,6.283165568e-06
1.000000000e-04,1.000000000e-01,1.000000000e-07,6.283183334e-07
1.000000000e-04,1.000000000e+00,1.000000000e-08,6.283185106e-08
1.000000000e-03,1.000000000e-06,1.000000000e+00,9.981325573e-01
1.000000000e-03,1.000000000e-05,1.000000000e-01,4.665119089e-01
1.000000000e-03,1.000000000e-04,1.000000000e-02,6.089863258e-02
1.000000000e-03,1.000000000e-03,1.000000000e-03,6.263487375e-03
1.000000000e-03,1.000000000e-02,1.000000000e-04,6.281211800e-04
1.000000000e-03,1.000000000e-01,1.000000000e-05,6.282987919e-05
1.000000000e-03,1.000000000e+00,1.000000000e-06,6.283165568e-06
1.000000000e-02,1.000000000e-06,1.000000000e+02,1.000000000e+00
1.000000000e-02,1.000000000e-05,1.000000000e+01,1.000000000e+00
1.000000000e-02,1.000000000e-04,1.000000000e+00,9.981325573e-01
1.000000000e-02,1.000000000e-03,1.000000000e-01,4.665119089e-01
1.000000000e-02,1.000000000e-02,1.000000000e-02,6.089863258e-02
1.000000000e-02,1.000000000e-01,1.000000000e-03,6.263487375e-03
1.000000000e-02,1.000000000e+00,1.000000000e-04,6.281211800e-04
3.000000000e-02,1.000000000e-06,9.000000000e+02,1.000000000e+00
3.000000000e-02,1.000000000e-05,9.000000000e+01,1.000000000e+00
3.000000000e-02,1.000000000e-04,9.000000000e+00,1.000000000e+00
3.000000000e-02,1.000000000e-03,9.000000000e-01,9.964995606e-01
3.000000000e-02,1.000000000e-02,9.000000000e-02,4.319163941e-01
3.000000000e-02,1.000000000e-01,9.000000000e-03,5.497950866e-02
3.000000000e-02,1.000000000e+00,9.000000000e-04,5.638908113e-03
1.000000000e-01,1.000000000e-06,1.000000000e+04,1.000000000e+00
1.000000000e-01,1.000000000e-05,1.000000000e+03,1.000000000e+00
1.000000000e-01,1.000000000e-04,1.000000000e+02,1.000000000e+00
1.000000000e-01,1.000000000e-03,1.000000000e+01,1.000000000e+00
1.000000000e-01,1.000000000e-02,1.000000000e+00,9.981325573e-01
1.000000000e-01,1.000000000e-01,1.000000000e-01,4.665119089e-01
1.000000000e-01,1.000000000e+00,1.000000000e-02,6.089863258e-02
3.000000000e-01,1.000000000e-06,9.000000000e+04,1.000000000e+00
3.000000000e-01,1.000000000e-05,9.000000000e+03,1.000000000e+00
3.000000000e-01,1.000000000e-04,9.000000000e+02,1.000000000e+00
3.000000000e-01,1.000000000e-03,9.000000000e+01,1.000000000e+00
3.000000000e-01,1.000000000e-02,9.000000000e+00,1.000000000e+00
3.000000000e-01,1.000000000e-01,9.000000000e-01,9.964995606e-01
3.000000000e-01,1.000000000e+00,9.000000000e-02,4.319163941e-01
1.000000000e+00,1.000000000e-06,1.000000000e+06,1.000000000e+00
1.000000000e+00,1.000000000e-05,1.000000000e+05,1.000000000e+00
1.000000000e+00,1.000000000e-04,1.000000000e+04,1.000000000e+00
1.000000000e+00,1.000000000e-03,1.000000000e+03,1.000000000e+00
1.000000000e+00,1.000000000e-02,1.000000000e+02,1.000000000e+00
1.000000000e+00,1.000000000e-01,1.000000000e+01,1.000000000e+00
1.000000000e+00,1.000000000e+00,1.000000000e+00,9.981325573e-01
